Nachname,Vorname,Akad. Titel,Kombinierter Name,ID_NUMBER
Anand,Viswanathan,,Viswanathan Anand,5000017
Aronian,Levon,,Levon Aronian,13300474
Svidler,Peter,,Peter Svidler,4102142
Adams,Michael,,Michael Adams,400041
Bacrot,Etienne,,Etienne Bacrot,605506
Shirov,Alexei,,Alexei Shirov,2209390
Naiditsch,Arkadij,,Arkadij Naiditsch,4650891
Kasimdzhanov,Rustam,,Rustam Kasimdzhanov,14200244
Vallejo Pons,Francisco,,Francisco Vallejo Pons,2205530
Nisipeanu,Liviu-Dieter,,Liviu-Dieter Nisipeanu,1202758
Movsesian,Sergei,,Sergei Movsesian,310204
Nielsen,Peter Heine,,Peter Heine Nielsen,1400355
Meier,Georg,,Georg Meier,4675789
Gustafsson,Jan,,Jan Gustafsson,4625498
Dautov,Rustem,,Rustem Dautov,4623606
Schlosser,Philipp,,Philipp Schlosser,4600169
Becker,Dirk,,Dirk Becker,12938564
Martin,Julian,,Julian Martin,12941000
Bezold,Michael,,Michael Bezold,4601718
Bischoff,Klaus,,Klaus Bischoff,4600045
Schenk,Andreas,,Andreas Schenk,4644891
Belezky,Alexander,,Alexander Belezky,14105411
Fedorovsky,Michael,,Michael Fedorovsky,14105454
Jorczik,Julian,,Julian Jorczik,24611719
Richter,Wolfgang,,Wolfgang Richter,4614569
Meister,Peter,,Peter Meister,4600207
Reich,Thomas,,Thomas Reich,4601009
Stangl,Markus,,Markus Stangl,4600274
Renner,Christoph,,Christoph Renner,4600886
Zajogin,Alexander,,Alexander Zajogin,13500430
Reiss,Tibor,,Tibor Reiss,718297
Zwanzger,Johannes,Dr. ,Dr. Johannes Zwanzger,4646738
Unzicker,Ferdinand,Dr. ,Dr. Ferdinand Unzicker,4619196
Tournier,Mathieu,,Mathieu Tournier,623806
Donchenko,Alexander,,Alexander Donchenko,24603295
Anton Guijarro,David,,David Anton Guijarro,2285525
Henrichs,Thomas,,Thomas Henrichs,4626605
Markus,Robert,,Robert Markus,921637
Heberla,Bartlomiej,,Bartlomiej Heberla,1115120
Hera,Imre Jr.,,Imre Jr. Hera,716855
